Location,Probe,Loading,PC1_Variance_%,PC2_Variance_%,Total_%
Forehead,PD2,Step Loading,40.205849090798736,35.84065448728546,76.0465035780842
Forehead,PD8,Step Loading,44.99684677280126,32.82321252786507,77.82005930066633
Parotid,PD2,Step Loading,49.52882370774262,30.297558361639425,79.82638206938203
Parotid,PD8,Step Loading,50.53524483793868,29.83324771936939,80.36849255730807
Jaw,PD2,Step Loading,52.832880770906556,29.07467228854605,81.90755305945261
Jaw,PD8,Step Loading,54.22503572965562,32.30693463676638,86.531970366422
